CornerHelp — master provider call sheet · 99 organizations · all 254 Texas counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements list will be given after scheduled appointment,,,,,,,,,,,,,,,,FILL THESE IN — in the order the script asks for them. Blank beats guessed.,,,,,,,,,,,,,,,,,,
WEEK 1,#,Organization,City,Address,Phone,Programs,Help offered,Counties,ZIPs,People reached,Counties served,ZIP codes served,Source,slug — do not edit,rent slug — do not edit,Status,Rent status,SERVICE AREA — whole county? which areas?,Funding lasts until,Reopens on,How to apply,Hours,Daily cap,Documents required,Most common reason turned away,Anything changing,Spoke with,Call outcome,Note,Called (date),VA,,,
WEEK 1,56,Dallas County Department of Health and Human Services,Dallas,,+12148191848,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,127,"2,823,843",Dallas,75001 75006 75007 75011 75014 75015 75016 75017 75019 75030 75038 75039 75040 75041 75042 75043 75044 75045 75046 75047 75048 75049 75050 75051 75052 75053 75054 75060 75061 75062 75063 75080 75081 75082 75083 75085 75088 75089 75104 75106 75115 75116 75123 75134 75137 75138 75141 75146 75149 75150 75154 75159 75172 75180 75181 75182 75185 75187 75201 75202 75203 75204 75205 75206 75207 75208 75209 75210 75211 75212 75214 75215 75216 75217 75218 75219 75220 75221 75222 75223 75224 75225 75226 75227 75228 75229 75230 75231 75232 75233 75234 75235 75236 75237 75238 75240 75241 75242 75243 75244 75246 75247 75248 75249 75250 75251 75253 75254 75313 75315 75336 75339 75342 75354 75355 75356 75357 75360 75367 75371 75372 75374 75376 75378 75380 75381 75382,TDHCA Master List of Community Affairs Subrecipients,dallas-county-department-of-health-and-human-services-ceap,,accepting,,,,,appointment,,,"Required Document:

Dallas County Residence Card

Additional Requirements:

Specific requirements will be provided after the pre-screening appointment.",,,Jamie,reached,Offered an appointment for September 10 at 12:00 PM at the Metro Press Services Building.,2026-09-04,Karlo,,,
WEEK 1,57,Alamo Area Council of Governments,San Antonio,,+12103625200,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",12,169,"2,679,447",Atascosa; Bandera; Bexar; Comal; Frio; Gillespie; Guadalupe; Karnes; Kendall; Kerr; Medina; Wilson,78002 78003 78004 78005 78006 78008 78009 78010 78011 78012 78013 78015 78016 78017 78023 78024 78025 78026 78027 78028 78029 78039 78050 78052 78054 78055 78056 78057 78058 78059 78061 78062 78063 78064 78065 78066 78069 78070 78073 78074 78101 78108 78109 78111 78112 78113 78114 78115 78116 78117 78118 78119 78121 78123 78124 78130 78131 78132 78133 78140 78141 78147 78148 78150 78151 78152 78154 78155 78156 78160 78161 78163 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299 78618 78623 78624 78631 78638 78648 78655 78670 78671 78675 78850 78861 78883 78884 78885 78886,TDHCA Master List of Community Affairs Subrecipients,alamo-area-council-of-governments-ceap,,unknown,,,,,,,,,,,,voicemail,"None of the available menu options matched the assistance we are looking for. The options were focused on Assisted Home, Veteran Assistance, Special Needs for Adults, and Home for the Aged.",2026-09-04,Karlo,,,
,58,Greater East Texas Community Action Program (GETCAP),Nacogdoches,,+18006215746,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",30,254,"2,411,544",Anderson; Angelina; Chambers; Cherokee; Galveston; Gregg; Hardin; Harrison; Henderson; Houston; Jasper; Jefferson; Kaufman; Liberty; Nacogdoches; Newton; Orange; Panola; Polk; Rusk; Sabine; San Augustine; San Jacinto; Shelby; Smith; Trinity; Tyler; Upshur; Van Zandt; Wood,75103 75114 75117 75124 75126 75127 75140 75142 75143 75147 75148 75156 75157 75158 75159 75160 75161 75163 75169 75410 75431 75494 75497 75601 75602 75603 75604 75605 75606 75607 75608 75615 75631 75633 75639 75640 75642 75643 75644 75645 75647 75650 75651 75652 75654 75660 75661 75662 75663 75666 75667 75669 75670 75671 75672 75681 75683 75684 75686 75688 75691 75692 75693 75701 75702 75703 75704 75705 75706 75707 75708 75709 75710 75711 75712 75713 75750 75751 75752 75754 75755 75756 75757 75758 75759 75760 75762 75763 75764 75765 75766 75770 75771 75773 75778 75779 75783 75784 75785 75789 75790 75791 75792 75801 75802 75803 75832 75835 75839 75844 75845 75847 75851 75853 75856 75861 75862 75865 75901 75902 75903 75904 75915 75925 75926 75928 75929 75930 75931 75932 75933 75935 75936 75937 75938 75939 75941 75942 75943 75944 75946 75948 75949 75951 75954 75956 75959 75960 75961 75963 75964 75965 75966 75968 75969 75972 75973 75974 75975 75976 75977 75979 75980 77320 77327 77328 77331 77335 77351 77358 77359 77360 77364 77371 77372 77376 77378 77399 77510 77511 77514 77517 77518 77519 77523 77533 77535 77538 77539 77546 77549 77550 77551 77552 77553 77554 77560 77563 77564 77565 77568 77573 77574 77575 77580 77585 77590 77591 77592 77597 77611 77612 77613 77616 77617 77619 77622 77623 77624 77625 77627 77629 77630 77631 77632 77639 77640 77641 77642 77643 77650 77651 77655 77656 77657 77659 77660 77662 77663 77664 77665 77670 77701 77702 77703 77704 77705 77706 77707 77708 77713 77720 77725 77726,TDHCA Master List of Community Affairs Subrecipients,greater-east-texas-community-action-program-getcap-ceap,,unknown,,,,,,,,,,,,voicemail,Routed to Voice Mail After ringing. ,2026-09-04,Karlo,,,
WEEK 1,59,"Fort Worth, City of, Neighborhood Services Department",Fort Worth,,+18173925790,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,91,"2,373,979",Tarrant,75050 75051 75052 75053 75054 75261 76001 76002 76003 76004 76005 76006 76007 76008 76010 76011 76012 76013 76014 76015 76016 76017 76018 76020 76021 76022 76028 76034 76036 76039 76040 76051 76052 76053 76054 76060 76063 76071 76092 76094 76095 76096 76099 76101 76102 76103 76104 76105 76106 76107 76108 76109 76110 76111 76112 76113 76114 76115 76116 76117 76118 76119 76120 76121 76123 76124 76126 76127 76131 76132 76133 76134 76135 76136 76137 76140 76147 76148 76155 76161 76162 76163 76164 76177 76179 76180 76182 76185 76244 76248 76262,TDHCA Master List of Community Affairs Subrecipients,fort-worth-city-of-neighborhood-services-department-ceap,,unknown,,,,,,,,,,,,no_answer,Ringing only,2026-09-04,Karlo,,,
WEEK 1,60,Bexar County Department of Community Resources,San Antonio,,+12103353666,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,97,"2,107,424",Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299,TDHCA Master List of Community Affairs Subrecipients,bexar-county-department-of-community-resources-ceap,,seasonal_closed,,,,,appointment,,,"Required Documents:

Birth Certificate for everyone in the household
Driver’s License for everyone in the household
CPS Utility Bill
Proof of Income for the last 30 days for everyone in the household",if abpve the required income,,Alex,reached,"Application Process:

No appointments are available for the remainder of this week.
Requests can be submitted online 24/7, with online intake available on Wednesdays through ua.fair.org.
The call was ended when the agent requested the CPS account number to proceed.",2026-09-04,Karlo,,,
WEEK 1,61,"San Antonio, City of, Department of Human Services",San Antonio,,+12102078198,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,97,"2,107,424",Bexar,78002 78006 78015 78023 78039 78052 78054 78069 78073 78101 78109 78112 78148 78150 78152 78154 78201 78202 78203 78204 78205 78206 78207 78208 78209 78210 78211 78212 78213 78214 78215 78216 78217 78218 78219 78220 78221 78222 78223 78224 78225 78226 78227 78228 78229 78230 78231 78232 78233 78234 78235 78236 78237 78238 78239 78240 78242 78244 78245 78246 78247 78248 78249 78250 78251 78252 78253 78254 78255 78256 78257 78258 78259 78260 78261 78263 78264 78265 78266 78268 78269 78270 78278 78279 78280 78283 78284 78288 78291 78292 78293 78294 78295 78296 78297 78298 78299,TDHCA Master List of Community Affairs Subrecipients,san-antonio-city-of-department-of-human-services-ceap,,accepting,,,,,walk_in,8AM to 10AM CST,none,"Requirements:

Photo ID
Copy of a utility bill dated within the last 30 days
Proof of income",,,Daniela,reached,"Requirements:

Photo ID
Copy of a utility bill dated within the last 30 days
Proof of income

Walk-In Availability:

No daily cap for walk-in applicants
Walk-in hours: 8:00 AM–10:00 AM",2026-09-04,Karlo,,,
WEEK 1,62,Community Action Corporation of South Texas,Alice,,+13616640145,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",14,108,"1,859,565",Bee; Brooks; Cameron; Duval; Hidalgo; Jim Hogg; Jim Wells; Kenedy; Kleberg; San Patricio; Starr; Webb; Willacy; Zapata,78019 78040 78041 78042 78043 78044 78045 78046 78067 78076 78102 78104 78119 78125 78142 78146 78162 78332 78335 78336 78338 78341 78344 78349 78352 78353 78355 78357 78359 78360 78361 78362 78363 78368 78369 78370 78371 78372 78374 78375 78376 78379 78383 78384 78385 78387 78389 78390 78391 78501 78502 78503 78504 78505 78516 78520 78521 78522 78523 78526 78535 78536 78537 78538 78539 78540 78541 78542 78543 78545 78547 78548 78550 78551 78552 78553 78557 78559 78560 78561 78562 78563 78564 78566 78569 78570 78572 78573 78574 78575 78576 78577 78578 78579 78580 78582 78583 78584 78586 78588 78589 78591 78593 78595 78596 78597 78598 78599,TDHCA Master List of Community Affairs Subrecipients,community-action-corporation-of-south-texas-ceap,,waitlist,,,,,online,8AM - 5PM CST,,No documents are required at the time of registration.,,,Belinda,reached,"Applications are currently available through a waitlist only. The agent offered to send the registration link via SMS and requested a phone number to send the link. No documents are required during registration.

The agent also mentioned that there is currently a high number of applicants on the waitlist, and assistance will be provided only while funding remains available.",2026-09-04,Karlo,,,
WEEK 1,63,"Combined Community Action, Inc.",Giddings,,+19795402980,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",10,100,"1,670,147",Austin; Bastrop; Blanco; Caldwell; Colorado; Fayette; Fort Bend; Hays; Lee; Wharton,77053 77083 77406 77407 77412 77417 77418 77420 77423 77426 77430 77434 77435 77437 77441 77442 77444 77448 77450 77451 77453 77454 77455 77459 77461 77467 77469 77470 77471 77474 77475 77477 77478 77479 77481 77485 77487 77488 77489 77494 77496 77497 77498 77545 77583 77584 77853 78602 78606 78610 78612 78616 78617 78619 78620 78621 78632 78635 78636 78640 78644 78648 78650 78652 78655 78656 78659 78661 78662 78663 78666 78667 78676 78737 78931 78932 78933 78934 78935 78938 78940 78941 78942 78943 78944 78945 78946 78947 78948 78949 78950 78951 78952 78953 78954 78956 78957 78959 78962 78963,TDHCA Master List of Community Affairs Subrecipients,combined-community-action-inc-ceap,,unknown,,,,,,,,,,,,reached,Called regarding Utility Assistance and confirmed that the program serves residents of Wharton County.,2026-09-04,Karlo,,,
WEEK 1,64,City of Austin Health and Human Services Department,Austin,,+15129725000,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,74,"1,642,866",Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768,TDHCA Master List of Community Affairs Subrecipients,city-of-austin-health-and-human-services-department-ceap,,unknown,,,,,,,,,,,,reached,"Spoke with the agent, who transferred the call to Utility Assistance. The operator advised that they could not find an account associated with the phone number used for the call. The call was then disconnected before further assistance could be provided.",2026-09-04,Karlo,,,
WEEK 1,65,Travis County Health & Human Services/Veterans Services,Austin,,+15128547250,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",1,74,"1,642,866",Travis,78610 78613 78615 78617 78620 78621 78641 78645 78652 78653 78660 78664 78669 78691 78701 78702 78703 78704 78705 78708 78709 78711 78714 78715 78716 78718 78719 78720 78721 78722 78723 78724 78725 78726 78727 78728 78729 78730 78731 78732 78733 78734 78735 78736 78737 78738 78739 78741 78742 78744 78745 78746 78747 78748 78749 78750 78751 78752 78753 78754 78755 78756 78757 78758 78759 78760 78761 78762 78763 78764 78765 78766 78767 78768,TDHCA Master List of Community Affairs Subrecipients,travis-county-health-human-services-veterans-services-ceap,,unknown,,,,,,,,,,,,no_answer,The automated recording confirmed that they currently only accept applications for Home Repair Assistance. Utility or other forms of assistance are not currently being accepted.,2026-09-04,Karlo,,,
,66,"Hill Country Community Action Association, Inc.",San Saba,,+13253725167,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",13,110,"1,373,509",Bell; Burnet; Coryell; Erath; Hamilton; Lampasas; Llano; Mason; Milam; Mills; San Saba; Somervell; Williamson,76043 76070 76077 76401 76433 76436 76445 76446 76453 76457 76462 76463 76465 76501 76502 76503 76504 76511 76513 76518 76519 76520 76522 76525 76527 76528 76530 76531 76533 76534 76537 76538 76539 76540 76541 76542 76543 76544 76547 76548 76549 76550 76554 76556 76557 76559 76561 76565 76566 76567 76569 76571 76573 76574 76577 76578 76579 76649 76689 76690 76820 76824 76831 76832 76842 76844 76853 76856 76864 76869 76870 76871 76872 76877 76885 76890 77857 78605 78607 78608 78609 78611 78613 78615 78621 78626 78627 78628 78630 78633 78634 78639 78641 78642 78643 78646 78654 78657 78664 78665 78669 78672 78674 78680 78681 78683 78717 78728 78729 78750,TDHCA Master List of Community Affairs Subrecipients,hill-country-community-action-association-inc-ceap,,accepting,,,,,walk_in,,,"Requirements:

Birth Certificate
Valid ID and Social Security information for everyone in the household
Latest Utility Bill
Proof of Income","Disqualifier:

Household income exceeds the program's income limit",,Rebecca,reached,"Application Process:

Visit the Central Office in person to pick up the application form.",2026-09-04,Karlo,,,
,67,Brazos Valley Community Action Programs,Bryan,,+19795952800,"CEAP, CSBG, WAP","electric_bill, food_pantry, gas_bill, home_repair, hvac_repair, reconnect_fee, rent_assistance, transportation, utility_deposit, weatherization",12,91,"1,354,836",Brazos; Burleson; Chambers; Grimes; Leon; Liberty; Madison; Montgomery; Robertson; Walker; Waller; Washington,75831 75833 75846 75850 75852 75855 76629 76687 77301 77302 77303 77304 77305 77306 77316 77318 77320 77327 77328 77339 77340 77342 77353 77354 77355 77356 77357 77358 77362 77363 77365 77372 77378 77380 77381 77382 77384 77385 77386 77387 77393 77423 77426 77445 77446 77447 77484 77493 77514 77523 77533 77535 77538 77560 77564 77575 77580 77597 77665 77801 77802 77803 77805 77806 77807 77808 77830 77831 77833 77834 77835 77836 77837 77840 77841 77842 77845 77856 77859 77861 77864 77865 77868 77871 77872 77873 77879 77880 77881 78932 78946,TDHCA Master List of Community Affairs Subrecipients,brazos-valley-community-action-programs-ceap,,accepting,,,,,online,,,,,,Anna,reached,"The agent confirmed that they are currently accepting applications, but the entire application process must be completed online through capbv.org.",2026-09-04,Karlo,,,
